VENDEDOR	CLIENTE	ROTULO	DESCRICAO	OP	COD.CAPACIDADE	CAPACIDADE	DATA ENTRADA	DATA PREPARACAO	DATA LITOGRAFIA	DATA MONSTAGEM	DATA ENTREGA	QUANTIDADE PEDIDO	QTDE FOLHAS	QTDE POR FOLHA	VERNIZ.INT 01	VERNIZ.INT 02	ESMALTE	REVESTIMENTO	VERNIZ.ACABAMENTO	PREPARACAO	1a.COR	2a.COR	3a.COR	4a.COR	5a.COR	LITOGRAFIA	FECHAMENTO
CLAUDIO FRANCO DA ROCHA	DENVER IMPERMEABILIZANTES IND.E COM,LTDA	018.0103.03.0	18L (H)- DENVER  IMPERMANTA PRIMER 	842012	18	18 L.	13/06/2012	08/06/2012	12/06/2012	13/06/2012	15/06/2012	720	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		LARANJA DENVER	VERMELHO LINOVA	PRETO				Ø57	
CLAUDIO FRANCO DA ROCHA	DENVER IMPERMEABILIZANTES IND.E COM,LTDA	018.0103.03.0	18L (H)- DENVER  IMPERMANTA PRIMER 	852012	18	18 L.	13/06/2012	22/06/2012	26/06/2012	27/06/2012	29/06/2012	720	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		LARANJA DENVER	VERMELHO LINOVA	PRETO				Ø57	
DALTON	FORMILINE IND. DE LAMINADOS LTDA	018.0079.01.0	DESATIVADO  18L (H)- BIQ BERTONCINI COLA EM022	872012	18	18 L.	13/06/2012	06/06/2012	10/06/2012	11/06/2012	13/06/2012	3000	0	0			ESMALTE BRANCO BIQ	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL PREPARADO	VERMELHO PREPARADO					Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.01.1	18L (H)- AMAZONAS COM VZ INT	882012	18	18 L.	13/06/2012	06/06/2012	10/06/2012	11/06/2012	13/06/2012	3000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERDE ESC.AMAZONAS	AZUL AMAZONAS	VERMELHO LINOVA		Ø57	
DALTON	BRASCOLA LTDA	018.0174.02.1	18L (H)- BRASCOLA   USO  PROFISSIONAL  COM VZ	892012	18	18 L.	13/06/2012	05/06/2012	09/06/2012	10/06/2012	12/06/2012	3000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VZ INTERNO	ACABAMENTO COMUM		VERDE BRASCOVED	AZUL EUROPA	VERMELHO LINOVA	AMARELO BRASCOVED			Ø57	
ANGELA QUIRINO	MARCOBI IND. E COM. LTDA	018.0140.02.0	18L (H)- MARCOBI	902012	18	18 L.	13/06/2012	06/06/2012	10/06/2012	11/06/2012	13/06/2012	1000	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL VIWACRIL	VERMELHO LINOVA	PRETO	VERDE PREPARADO	AMARELO MEDIO		Ø57	
ANGELA QUIRINO	MARCOBI IND. E COM. LTDA	018.0140.02.0	18L (H)- MARCOBI	912012	18	18 L.	13/06/2012	03/07/2012	07/07/2012	08/07/2012	10/07/2012	1000	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL VIWACRIL	VERMELHO LINOVA	PRETO	VERDE PREPARADO	AMARELO MEDIO		Ø57	
ANGELA QUIRINO	ACEBRAS ACETATOS DO BRASIL LTDA	018.0002.01.0	18L (H)-  ACEBRAS Ø57	922012	18	18 L.	13/06/2012	08/06/2012	12/06/2012	13/06/2012	15/06/2012	1000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	BRANCO OPACO	PRETO	AMARELO LIMÃO	VERMELHO LINOVA		Ø57	
ANGELA QUIRINO	ACEBRAS ACETATOS DO BRASIL LTDA	018.0002.01.0	18L (H)-  ACEBRAS Ø57	932012	18	18 L.	13/06/2012	15/06/2012	19/06/2012	20/06/2012	22/06/2012	1000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	BRANCO OPACO	PRETO	AMARELO LIMÃO	VERMELHO LINOVA		Ø57	
ANGELA QUIRINO	ACEBRAS ACETATOS DO BRASIL LTDA	018.0002.01.0	18L (H)-  ACEBRAS Ø57	942012	18	18 L.	13/06/2012	22/06/2012	26/06/2012	27/06/2012	29/06/2012	1000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	BRANCO OPACO	PRETO	AMARELO LIMÃO	VERMELHO LINOVA		Ø57	
SANDRA REGINA DA SILVA	PIROSOL PRODS. QUIMICOS LTDA	018.0201.02.2	18L (H)- PIROSOL   A 200 USO PROFIS.	952012	18	18 L.	13/06/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	2000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	VERDE AUDI	VERDE 355 PROCESSO	AZUL DURAMAR			Ø42	
CLAUDIO FRANCO DA ROCHA	DENVER IMPERMEABILIZANTES IND.E COM,LTDA	018.0103.04.0	18L (H)- DENVER GENERICA	962012	18	18 L.	14/06/2012	18/06/2012	22/06/2012	23/06/2012	25/06/2012	720	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	LARANJA DENVER	VERMELHO LINOVA				Ø57	
CLAUDIO FRANCO DA ROCHA	DENVER IMPERMEABILIZANTES IND.E COM,LTDA	018.0103.04.0	18L (H)- DENVER GENERICA	972012	18	18 L.	14/06/2012	02/07/2012	06/07/2012	07/07/2012	09/07/2012	720	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	LARANJA DENVER	VERMELHO LINOVA				Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.28.0	18L (H)- SOLVENTEX  INDUSTRIAL   ESPECIAL	982012	18	18 L.	14/06/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	180	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	AMARELO BANDEIRA	AZUL DURAMAR	MAGENTA BERTONCINI			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.30.0	18L (H)- SOLVENTEX  GALVANITEX	992012	18	18 L.	14/06/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	180	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	BRANCO OPACO 2ªPASS	BRANCO OPACO	VERMELHO LINOVA			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.31.1	18L (H)- SOLVENTEX  PRIMER  ACABAMENTO CINZA	1002012	18	18 L.	14/06/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	180	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL ESCALA	VERMELHO LINOVA	PRETO	CINZA GRAFITEX			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.33.0	18L (H)- SOLVENTEX   ZARCOTEX  (LARANJA)	1012012	18	18 L.	14/06/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	180	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	LARANJA RILAPLAST				Ø57	
DALTON	KILLING BAHIA TINTAS E ADESIVOS LTDA.	018.1233.01.0	18L (H)- KILLING KISAFIX  USO PROFIS. C/VZ	1032012	18	18 L.	15/06/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	3000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	AZUL PREPARADO	VERMELHO PREPARADO	BRANCO OPACO			Ø57	
DALTON	AMAZONAS PROD.PARA CALÇADOS LTDA-BA	018.0609.02.6	18L (H)- AMAZONAS SEM VZ INT	1052012	18	18 L.	15/06/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	3000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERMELHO LINOVA	AZUL AMAZONAS	VERDE ESC.AMAZONAS		Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.02.6	18L (H)- AMAZONAS SEM VZ INT	1062012	18	18 L.	15/06/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	3000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERMELHO LINOVA	AZUL AMAZONAS	VERDE ESC.AMAZONAS		Ø57	
ROGERIO BARRETTO MARTINS	DISSOLTEX IND. QUÍMICA LTDA	018.0100.01.0	18L (H)- DISSOLTEX  SOLVENTE	1072012	18	18 L.	15/06/2012	28/06/2012	02/07/2012	03/07/2012	05/07/2012	1260	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO MEDIO	AZUL DURAMAR	PRETO	LARANJA PREPARADO	VERDE PREPARADO		Ø57	
ROGERIO BARRETTO MARTINS	DISSOLTEX IND. QUÍMICA LTDA	018.0100.01.0	18L (H)- DISSOLTEX  SOLVENTE	1082012	18	18 L.	15/06/2012	11/07/2012	15/07/2012	16/07/2012	18/07/2012	1260	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO MEDIO	AZUL DURAMAR	PRETO	LARANJA PREPARADO	VERDE PREPARADO		Ø57	
ANGELA QUIRINO	QUIMICA NACIONAL QUIMIONAL LTDA	018.0940.01.0	DESATIVADO LATA 18L (H) CHAPADO BRANCO	1092012	18	18 L.	15/06/2012	08/06/2012	12/06/2012	13/06/2012	15/06/2012	400	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO						Ø57	
CLAUDIO FRANCO DA ROCHA	PERMABOND  ADESIVOS LTDA	018.1512.01.0	DESATIVADO 18L (H)-  NATURAL   S/VZ	1102012	18	18 L.	18/06/2012	08/06/2012	12/06/2012	13/06/2012	15/06/2012	30	0	0				SEM VZ INTERNO	ACABAMENTO COMUM								Ø42	
